,accepts_mercadopago,address,attributes,available_quantity,buying_mode,category_id,condition,currency_id,id,installments,listing_type_id,official_store_id,original_price,permalink,price,seller,seller_address,shipping,site_id,sold_quantity,stop_time,subtitle,thumbnail,title
0,True,"{u'city_id': u'', u'state_id': u'AR-C', u'city_name': u'Capital Federal', u'state_name': u'Capital Federal'}",[],956,buy_it_now,MLA121408,new,ARS,MLA539680794,"{u'currency_id': u'ARS', u'amount': 1007.18, u'quantity': 12}",gold_premium,,,http://articulo.mercadolibre.com.ar/MLA-539680794-iphone-5c-apple-16gb-tactil-wifi-liberado-chip-a6-ios7-_JM,7899.99,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 110552, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'Capital Federal'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.44942, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.576756, u'address_line': u'', u'id': 118787135, u'zip_code': u''}","{u'free_shipping': True, u'mode': u'me2'}",MLA,106,2015-05-02 16:09:12,,http://mla-s2-p.mlstatic.com/16958-MLA20129833684_072014-I.jpg,Iphone 5c Apple 16gb Tactil Wifi Liberado Chip A6 Ios7
1,True,"{u'city_id': u'', u'state_id': u'AR-C', u'city_name': u'CAPITAL FEDERAL', u'state_name': u'Capital Federal'}",[],175,buy_it_now,MLA121408,new,ARS,MLA550359246,"{u'currency_id': u'ARS', u'amount': 1000.81, u'quantity': 12}",gold_premium,,,http://articulo.mercadolibre.com.ar/MLA-550359246-apple-iphone-5c-16gb-liberados-factura-a-o-b-1-ano-de-gtia-_JM,7849.99,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 70004142, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'CAPITAL FEDERAL'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.48748, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.57619, u'address_line': u'', u'id': 118823789, u'zip_code': u''}","{u'free_shipping': True, u'mode': u'me2'}",MLA,107,2015-05-14 02:03:09,,http://mla-s1-p.mlstatic.com/12821-MLA20066432068_032014-I.jpg,Apple Iphone 5c 16gb Liberados Factura A O B +1 Año De Gtia!
2,True,"{u'city_id': u'', u'state_id': u'AR-C', u'city_name': u'Capital Federal', u'state_name': u'Capital Federal'}",[],882,buy_it_now,MLA121408,new,ARS,MLA546918874,"{u'currency_id': u'ARS', u'amount': 981.68, u'quantity': 12}",gold,,,http://articulo.mercadolibre.com.ar/MLA-546918874-iphone-5c-16gb-liberados-factura-a-o-b-1-ano-de-gtia-local-_JM,7699.99,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 110552, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'Capital Federal'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.44942, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.576756, u'address_line': u'', u'id': 118787135, u'zip_code': u''}","{u'free_shipping': True, u'mode': u'me2'}",MLA,18,2015-04-21 21:36:20,,http://mla-s2-p.mlstatic.com/12809-MLA20066156547_032014-I.jpg,Iphone 5c 16gb Liberados Factura A O B +1 Año De Gtia Local!
3,True,"{u'city_id': u'', u'state_id': u'AR-C', u'city_name': u'Capital Federal', u'state_name': u'Capital Federal'}",[],926,buy_it_now,MLA121408,new,ARS,MLA548587004,"{u'currency_id': u'ARS', u'amount': 968.94, u'quantity': 12}",gold,,,http://articulo.mercadolibre.com.ar/MLA-548587004-iphone-5c-apple-16gb-libre-de-fabrica-local-a-la-calle-_JM,7599.99,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 110552, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'Capital Federal'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.44942, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.576756, u'address_line': u'', u'id': 118787135, u'zip_code': u''}","{u'free_shipping': True, u'mode': u'me2'}",MLA,35,2015-05-02 23:11:49,,http://mla-s1-p.mlstatic.com/12807-MLA20066155853_032014-I.jpg,Iphone 5c Apple 16gb  Libre De Fabrica Local A La Calle!!!
4,True,"{u'city_id': u'TUxBQkxBUzIxNTJa', u'state_id': u'AR-C', u'city_name': u'Las Cañitas', u'state_name': u'Capital Federal'}",[],86,buy_it_now,MLA121408,new,ARS,MLA553421846,"{u'currency_id': u'ARS', u'amount': 1083.68, u'quantity': 12}",gold,,,http://articulo.mercadolibre.com.ar/MLA-553421846-iphone-5c-apple-16gb-tactil-wifi-liberado-chip-a6-ios7-_JM,8500.0,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 23101785, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'TUxBQkxBUzIxNTJa', u'name': u'Las Cañitas'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.43456, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.571438, u'address_line': u'', u'id': 159248741, u'zip_code': u''}","{u'free_shipping': True, u'mode': u'me2'}",MLA,12,2015-06-02 14:21:13,,http://mla-s1-p.mlstatic.com/13271-MLA20074460104_042014-I.jpg,Iphone 5c Apple 16gb Tactil Wifi Liberado Chip A6 Ios7
5,True,"{u'city_id': u'', u'state_id': u'AR-C', u'city_name': u'Capital', u'state_name': u'Capital Federal'}",[],957,buy_it_now,MLA121408,new,ARS,MLA552410169,"{u'currency_id': u'ARS', u'amount': 1019.93, u'quantity': 12}",gold,,,http://articulo.mercadolibre.com.ar/MLA-552410169-iphone-5c-apple-16gb-tactil-wifi-liberado-chip-a6-ios7-gtia-_JM,7999.99,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 126792024, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'Capital'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.456554, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.563877, u'address_line': u'', u'id': 111128927, u'zip_code': u''}","{u'free_shipping': True, u'mode': u'me2'}",MLA,27,2015-05-26 16:20:20,,http://mla-s2-p.mlstatic.com/461101-MLA20272858582_032015-I.jpg,Iphone 5c Apple 16gb Tactil Wifi Liberado Chip A6 Ios7 Gtia!
6,True,"{u'city_id': u'', u'state_id': u'AR-B', u'city_name': u'LATABLADA', u'state_name': u'Buenos Aires'}",[],994,buy_it_now,MLA121408,new,ARS,MLA547518200,"{u'currency_id': u'ARS', u'amount': 1273.64, u'quantity': 12}",gold,,,http://articulo.mercadolibre.com.ar/MLA-547518200-iphone-5c-apple-16gb-tactil-wifi-liberado-chip-a6-ios7-nuevo-_JM,9990.0,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 69987805, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'LATABLADA'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.508797, u'state': {u'id': u'AR-B', u'name': u'Buenos Aires'}, u'latitude': -34.67896, u'address_line': u'', u'id': 159441834, u'zip_code': u''}","{u'free_shipping': True, u'mode': u'me2'}",MLA,5,2015-04-26 02:38:16,,http://mla-s1-p.mlstatic.com/20229-MLA20186918783_102014-I.jpg,Iphone 5c Apple 16gb Tactil Wifi Liberado Chip A6 Ios7 Nuevo
7,True,"{u'city_id': u'', u'state_id': u'AR-C', u'city_name': u'Microcentro', u'state_name': u'Capital Federal'}",[],45,buy_it_now,MLA121408,new,ARS,MLA552268485,"{u'currency_id': u'ARS', u'amount': 981.56, u'quantity': 12}",gold_premium,,,http://articulo.mercadolibre.com.ar/MLA-552268485-iphone-5c-apple-16gb-liberado-libre-local-calle-microcentro-_JM,7699.0,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 146480022, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'Microcentro'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.38159, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.60372, u'address_line': u'', u'id': 120868446, u'zip_code': u''}","{u'free_shipping': False, u'mode': u'me2'}",MLA,5,2015-05-25 18:16:41,,http://mla-s1-p.mlstatic.com/21371-MLA20209473099_122014-I.jpg,Iphone 5c Apple 16gb Liberado Libre Local Calle Microcentro
8,True,"{u'city_id': u'', u'state_id': u'AR-C', u'city_name': u'Microcentro, zona Obelisco', u'state_name': u'Capital Federal'}",[],83,buy_it_now,MLA121408,new,ARS,MLA545176418,"{u'currency_id': u'ARS', u'amount': 1245.59, u'quantity': 12}",gold,,,http://articulo.mercadolibre.com.ar/MLA-545176418-iphone-5c-apple-16gb-3g-blanco-rosa-amarillo-celeste-verde-_JM,9769.99,"{u'car_dealer': False, u'power_seller_status': u'platinum', u'id': 65890166, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'', u'name': u'Microcentro, zona Obelisco'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': -58.381874, u'state': {u'id': u'AR-C', u'name': u'Capital Federal'}, u'latitude': -34.603703, u'address_line': u'', u'id': 83320424, u'zip_code': u''}","{u'free_shipping': False, u'mode': u'custom'}",MLA,6,2015-05-30 01:17:59,,http://mla-s1-p.mlstatic.com/13098-MLA20071819083_032014-I.jpg,Iphone 5c Apple 16gb 3g Blanco Rosa Amarillo Celeste Verde
9,True,"{u'city_id': u'TUxBQ1FVSWI1MzY', u'state_id': u'AR-B', u'city_name': u'Quilmes', u'state_name': u'Buenos Aires'}",[],1,buy_it_now,MLA121408,used,ARS,MLA546449179,"{u'currency_id': u'ARS', u'amount': 866.94, u'quantity': 12}",gold,,,http://articulo.mercadolibre.com.ar/MLA-546449179-vendo-iphone-5c-impecable-no-permuto-_JM,6800.0,"{u'car_dealer': False, u'power_seller_status': None, u'id': 57798122, u'real_estate_agency': False}","{u'comment': u'', u'city': {u'id': u'TUxBQ1FVSWI1MzY', u'name': u'Quilmes'}, u'country': {u'id': u'AR', u'name': u'Argentina'}, u'longitude': u'', u'state': {u'id': u'AR-B', u'name': u'Buenos Aires'}, u'latitude': u'', u'address_line': u'', u'id': 72522929, u'zip_code': u''}","{u'free_shipping': False, u'mode': u'not_specified'}",MLA,0,2015-04-19 12:37:06,,http://mla-s2-p.mlstatic.com/20586-MLA20192943232_112014-I.jpg,Vendo Iphone 5c Impecable! No Permuto
